<CMDLINE C:\Users\lenna\PycharmProjects\DD2358-Neurals\.venv\Scripts\python.exe artificialneuralnetwork.py
MEM 3.519531 1739783607.6893
MEM 3.519531 1739783607.7897
MEM 3.519531 1739783607.8900
MEM 3.519531 1739783607.9907
MEM 3.519531 1739783608.0913
MEM 3.519531 1739783608.1920
MEM 3.519531 1739783608.2928
MEM 3.519531 1739783608.3930
MEM 3.519531 1739783608.4936
MEM 3.519531 1739783608.5943
MEM 3.519531 1739783608.6949
MEM 3.519531 1739783608.7954
MEM 3.519531 1739783608.8957
MEM 3.519531 1739783608.9964
MEM 3.519531 1739783609.0968
MEM 3.519531 1739783609.1975
MEM 3.519531 1739783609.2979
MEM 3.519531 1739783609.3984
MEM 3.519531 1739783609.4990
MEM 3.519531 1739783609.5995
MEM 3.519531 1739783609.7002
MEM 3.519531 1739783609.8005
MEM 3.519531 1739783609.9008
MEM 3.519531 1739783610.0013
MEM 3.519531 1739783610.1017
MEM 3.519531 1739783610.2022
MEM 3.519531 1739783610.3028
MEM 3.519531 1739783610.4035
MEM 3.519531 1739783610.5042
MEM 3.519531 1739783610.6044
MEM 3.519531 1739783610.7051
MEM 3.519531 1739783610.8057
MEM 3.519531 1739783610.9062
MEM 3.519531 1739783611.0066
MEM 3.519531 1739783611.1071
MEM 3.519531 1739783611.2074
MEM 3.492188 1739783611.3078
MEM 3.492188 1739783611.4086
MEM 3.492188 1739783611.5088
MEM 3.492188 1739783611.6093
MEM 3.492188 1739783611.7099
MEM 3.492188 1739783611.8105
MEM 3.492188 1739783611.9108
MEM 3.492188 1739783612.0113
MEM 3.492188 1739783612.1119
MEM 3.492188 1739783612.2125
MEM 3.492188 1739783612.3130
MEM 3.492188 1739783612.4135
MEM 3.492188 1739783612.5145
MEM 3.492188 1739783612.6152
MEM 3.492188 1739783612.7164
MEM 3.492188 1739783612.8171
MEM 3.492188 1739783612.9178
MEM 3.492188 1739783613.0185
MEM 3.492188 1739783613.1194
MEM 3.492188 1739783613.2199
MEM 3.492188 1739783613.3204
MEM 3.492188 1739783613.4211
MEM 3.492188 1739783613.5214
MEM 3.492188 1739783613.6222
MEM 3.492188 1739783613.7230
MEM 3.492188 1739783613.8240
MEM 3.492188 1739783613.9243
MEM 3.492188 1739783614.0250
MEM 3.492188 1739783614.1256
MEM 3.492188 1739783614.2264
MEM 3.492188 1739783614.3267
MEM 3.492188 1739783614.4271
MEM 3.492188 1739783614.5274
MEM 3.492188 1739783614.6280
MEM 3.492188 1739783614.7288
MEM 3.492188 1739783614.8295
MEM 3.492188 1739783614.9299
MEM 3.492188 1739783615.0306
MEM 3.492188 1739783615.1314
MEM 3.492188 1739783615.2321
MEM 3.492188 1739783615.3327
MEM 3.492188 1739783615.4332
MEM 3.492188 1739783615.5337
MEM 3.492188 1739783615.6343
MEM 3.492188 1739783615.7350
MEM 3.492188 1739783615.8353
MEM 3.492188 1739783615.9359
MEM 3.492188 1739783616.0365
MEM 3.492188 1739783616.1371
MEM 3.492188 1739783616.2376
MEM 3.492188 1739783616.3382
MEM 3.492188 1739783616.4389
MEM 3.492188 1739783616.5393
MEM 3.492188 1739783616.6398
MEM 3.492188 1739783616.7403
MEM 3.492188 1739783616.8407
MEM 3.492188 1739783616.9412
MEM 3.492188 1739783617.0420
MEM 3.492188 1739783617.1426
MEM 3.492188 1739783617.2430
MEM 3.492188 1739783617.3435
MEM 3.492188 1739783617.4440
MEM 3.492188 1739783617.5447
MEM 3.492188 1739783617.6453
MEM 3.492188 1739783617.7459
MEM 3.492188 1739783617.8462
MEM 3.492188 1739783617.9469
MEM 3.492188 1739783618.0475
MEM 3.492188 1739783618.1483
MEM 3.492188 1739783618.2488
MEM 3.492188 1739783618.3492
MEM 3.492188 1739783618.4495
MEM 3.492188 1739783618.5498
MEM 3.492188 1739783618.6502
MEM 3.492188 1739783618.7508
MEM 3.492188 1739783618.8513
MEM 3.492188 1739783618.9518
MEM 3.492188 1739783619.0519
MEM 3.492188 1739783619.1524
MEM 3.492188 1739783619.2536
MEM 3.492188 1739783619.3544
MEM 3.492188 1739783619.4552
MEM 3.492188 1739783619.5555
MEM 3.492188 1739783619.6565
MEM 3.492188 1739783619.7571
MEM 3.492188 1739783619.8578
MEM 3.492188 1739783619.9582
MEM 3.492188 1739783620.0589
MEM 3.492188 1739783620.1595
MEM 3.492188 1739783620.2600
MEM 3.492188 1739783620.3607
MEM 3.492188 1739783620.4615
MEM 3.492188 1739783620.5622
MEM 3.492188 1739783620.6630
MEM 3.492188 1739783620.7635
MEM 3.492188 1739783620.8640
MEM 3.492188 1739783620.9646
MEM 3.492188 1739783621.0665
MEM 3.492188 1739783621.1676
MEM 3.492188 1739783621.2679
MEM 3.492188 1739783621.3684
MEM 3.492188 1739783621.4689
MEM 3.492188 1739783621.5695
MEM 3.492188 1739783621.6701
MEM 3.492188 1739783621.7710
MEM 3.492188 1739783621.8715
MEM 3.492188 1739783621.9718
MEM 3.492188 1739783622.0723
MEM 3.492188 1739783622.1727
MEM 3.492188 1739783622.2730
MEM 3.492188 1739783622.3739
MEM 3.492188 1739783622.4745
MEM 3.492188 1739783622.5749
MEM 3.492188 1739783622.6757
MEM 3.492188 1739783622.7763
MEM 3.492188 1739783622.8771
MEM 3.492188 1739783622.9776
MEM 3.492188 1739783623.0781
MEM 3.492188 1739783623.1785
MEM 3.492188 1739783623.2790
MEM 3.492188 1739783623.3796
MEM 3.492188 1739783623.4800
MEM 3.492188 1739783623.5808
MEM 3.492188 1739783623.6819
MEM 3.492188 1739783623.7829
MEM 3.492188 1739783623.8833
MEM 3.492188 1739783623.9837
MEM 3.492188 1739783624.0842
MEM 3.492188 1739783624.1846
MEM 3.492188 1739783624.2852
MEM 3.492188 1739783624.3860
MEM 3.492188 1739783624.4869
MEM 3.492188 1739783624.5874
MEM 3.492188 1739783624.6879
MEM 3.492188 1739783624.7885
MEM 3.492188 1739783624.8888
MEM 3.492188 1739783624.9894
MEM 3.492188 1739783625.0898
MEM 3.492188 1739783625.1905
MEM 3.492188 1739783625.2912
MEM 3.492188 1739783625.3919
MEM 3.492188 1739783625.4926
MEM 3.492188 1739783625.5931
MEM 3.492188 1739783625.6935
MEM 3.492188 1739783625.7941
MEM 3.492188 1739783625.8946
MEM 3.492188 1739783625.9953
MEM 3.492188 1739783626.0961
MEM 3.492188 1739783626.1966
MEM 3.492188 1739783626.2972
MEM 3.492188 1739783626.3976
MEM 3.492188 1739783626.4980
MEM 3.492188 1739783626.5988
MEM 3.492188 1739783626.6997
MEM 3.492188 1739783626.8002
MEM 3.492188 1739783626.9006
MEM 3.492188 1739783627.0011
MEM 3.492188 1739783627.1015
MEM 3.492188 1739783627.2021
MEM 3.492188 1739783627.3025
MEM 3.492188 1739783627.4029
MEM 3.492188 1739783627.5035
MEM 3.492188 1739783627.6043
MEM 3.492188 1739783627.7050
MEM 3.492188 1739783627.8056
MEM 3.492188 1739783627.9062
MEM 3.492188 1739783628.0065
MEM 3.492188 1739783628.1073
MEM 3.492188 1739783628.2077
MEM 3.492188 1739783628.3083
MEM 3.492188 1739783628.4087
MEM 3.492188 1739783628.5092
MEM 3.492188 1739783628.6095
MEM 3.492188 1739783628.7102
MEM 3.492188 1739783628.8111
MEM 3.492188 1739783628.9114
MEM 3.492188 1739783629.0117
MEM 3.492188 1739783629.1122
MEM 3.492188 1739783629.2128
MEM 3.492188 1739783629.3134
MEM 3.492188 1739783629.4144
MEM 3.492188 1739783629.5150
MEM 3.492188 1739783629.6158
MEM 3.492188 1739783629.7165
MEM 3.492188 1739783629.8172
MEM 3.492188 1739783629.9175
MEM 3.492188 1739783630.0179
MEM 3.492188 1739783630.1185
MEM 3.492188 1739783630.2192
MEM 3.492188 1739783630.3199
MEM 3.492188 1739783630.4205
MEM 3.492188 1739783630.5212
MEM 3.492188 1739783630.6218
MEM 3.492188 1739783630.7223
MEM 3.492188 1739783630.8229
MEM 3.492188 1739783630.9234
MEM 3.492188 1739783631.0238
MEM 3.492188 1739783631.1242
MEM 3.492188 1739783631.2249
MEM 3.492188 1739783631.3257
MEM 3.492188 1739783631.4265
MEM 3.492188 1739783631.5268
MEM 3.492188 1739783631.6274
MEM 3.492188 1739783631.7278
MEM 3.492188 1739783631.8287
MEM 3.492188 1739783631.9292
MEM 3.492188 1739783632.0299
MEM 3.492188 1739783632.1316
MEM 3.492188 1739783632.2322
MEM 3.492188 1739783632.3328
MEM 3.492188 1739783632.4334
MEM 3.492188 1739783632.5338
MEM 3.492188 1739783632.6343
MEM 3.492188 1739783632.7352
MEM 3.492188 1739783632.8359
MEM 3.492188 1739783632.9368
MEM 3.492188 1739783633.0375
MEM 3.492188 1739783633.1378
MEM 3.492188 1739783633.2382
MEM 3.492188 1739783633.3388
MEM 3.492188 1739783633.4396
MEM 3.492188 1739783633.5402
MEM 3.492188 1739783633.6410
MEM 3.492188 1739783633.7418
MEM 3.492188 1739783633.8425
MEM 3.492188 1739783633.9427
MEM 3.492188 1739783634.0435
MEM 3.492188 1739783634.1441
MEM 3.492188 1739783634.2446
MEM 3.492188 1739783634.3450
MEM 3.492188 1739783634.4454
MEM 3.492188 1739783634.5460
MEM 3.492188 1739783634.6468
MEM 3.492188 1739783634.7476
MEM 3.492188 1739783634.8482
MEM 3.492188 1739783634.9491
MEM 3.492188 1739783635.0498
MEM 3.492188 1739783635.1500
MEM 3.492188 1739783635.2529
MEM 3.492188 1739783635.3534
MEM 3.492188 1739783635.4537
MEM 3.492188 1739783635.5545
MEM 3.492188 1739783635.6552
MEM 3.492188 1739783635.7559
MEM 3.492188 1739783635.8562
MEM 3.492188 1739783635.9569
MEM 3.492188 1739783636.0573
MEM 3.492188 1739783636.1576
MEM 3.492188 1739783636.2583
MEM 3.492188 1739783636.3588
MEM 3.492188 1739783636.4593
MEM 3.492188 1739783636.5600
MEM 3.492188 1739783636.6603
MEM 3.492188 1739783636.7609
MEM 3.492188 1739783636.8616
MEM 3.492188 1739783636.9623
MEM 3.492188 1739783637.0628
MEM 3.492188 1739783637.1632
MEM 3.492188 1739783637.2640
MEM 3.492188 1739783637.3647
MEM 3.492188 1739783637.4653
MEM 3.492188 1739783637.5660
MEM 3.492188 1739783637.6666
MEM 3.492188 1739783637.7672
MEM 3.492188 1739783637.8679
MEM 3.492188 1739783637.9689
MEM 3.492188 1739783638.0693
MEM 3.492188 1739783638.1696
MEM 3.492188 1739783638.2700
MEM 3.492188 1739783638.3707
MEM 3.492188 1739783638.4714
MEM 3.492188 1739783638.5721
MEM 3.492188 1739783638.6728
MEM 3.492188 1739783638.7731
MEM 3.492188 1739783638.8735
MEM 3.492188 1739783638.9739
MEM 3.492188 1739783639.0742
MEM 3.492188 1739783639.1744
MEM 3.492188 1739783639.2749
MEM 3.492188 1739783639.3756
MEM 3.492188 1739783639.4761
MEM 3.492188 1739783639.5765
MEM 3.492188 1739783639.6769
MEM 3.492188 1739783639.7773
MEM 3.492188 1739783639.8775
MEM 3.492188 1739783639.9781
MEM 3.492188 1739783640.0785
MEM 3.492188 1739783640.1793
MEM 3.492188 1739783640.2799
MEM 3.492188 1739783640.3803
MEM 3.492188 1739783640.4812
MEM 3.492188 1739783640.5814
MEM 3.492188 1739783640.6819
MEM 3.492188 1739783640.7824
MEM 3.492188 1739783640.8831
MEM 3.492188 1739783640.9836
MEM 3.492188 1739783641.0842
MEM 3.492188 1739783641.1845
MEM 3.492188 1739783641.2850
MEM 3.492188 1739783641.3856
MEM 3.492188 1739783641.4869
MEM 3.492188 1739783641.5872
MEM 3.492188 1739783641.6873
MEM 3.492188 1739783641.7876
MEM 3.492188 1739783641.8879
MEM 3.492188 1739783641.9883
MEM 3.492188 1739783642.0891
MEM 3.492188 1739783642.1898
MEM 3.492188 1739783642.2902
MEM 3.492188 1739783642.3907
MEM 3.492188 1739783642.4909
MEM 3.492188 1739783642.5916
MEM 3.492188 1739783642.6920
MEM 3.492188 1739783642.7924
MEM 3.492188 1739783642.8932
MEM 3.492188 1739783642.9936
MEM 3.492188 1739783643.0945
MEM 3.492188 1739783643.1947
MEM 3.492188 1739783643.2955
MEM 3.492188 1739783643.3961
MEM 3.492188 1739783643.4967
MEM 3.492188 1739783643.5972
MEM 3.492188 1739783643.6987
MEM 3.492188 1739783643.7993
MEM 3.492188 1739783643.8997
MEM 3.492188 1739783644.0000
MEM 3.492188 1739783644.1005
MEM 3.492188 1739783644.2010
MEM 3.492188 1739783644.3013
MEM 3.492188 1739783644.4016
MEM 3.492188 1739783644.5023
MEM 3.492188 1739783644.6031
MEM 3.492188 1739783644.7039
MEM 3.492188 1739783644.8044
MEM 3.492188 1739783644.9052
MEM 3.492188 1739783645.0056
MEM 3.492188 1739783645.1062
MEM 3.492188 1739783645.2066
MEM 3.492188 1739783645.3071
MEM 3.492188 1739783645.4076
MEM 3.492188 1739783645.5081
MEM 3.492188 1739783645.6084
MEM 3.492188 1739783645.7089
MEM 3.492188 1739783645.8096
MEM 3.492188 1739783645.9101
MEM 3.492188 1739783646.0105
MEM 3.492188 1739783646.1110
MEM 3.492188 1739783646.2113
MEM 3.492188 1739783646.3117
MEM 3.492188 1739783646.4125
MEM 3.492188 1739783646.5132
MEM 3.492188 1739783646.6136
MEM 3.492188 1739783646.7138
MEM 3.492188 1739783646.8162
MEM 3.492188 1739783646.9169
MEM 3.492188 1739783647.0176
MEM 3.492188 1739783647.1185
MEM 3.492188 1739783647.2191
MEM 3.492188 1739783647.3197
MEM 3.492188 1739783647.4209
MEM 3.492188 1739783647.5214
MEM 3.492188 1739783647.6220
MEM 3.492188 1739783647.7231
MEM 3.492188 1739783647.8238
MEM 3.492188 1739783647.9242
MEM 3.492188 1739783648.0245
MEM 3.492188 1739783648.1252
MEM 3.492188 1739783648.2259
MEM 3.492188 1739783648.3264
MEM 3.492188 1739783648.4273
MEM 3.492188 1739783648.5280
MEM 3.492188 1739783648.6284
MEM 3.492188 1739783648.7288
MEM 3.492188 1739783648.8291
MEM 3.492188 1739783648.9295
MEM 3.492188 1739783649.0303
MEM 3.492188 1739783649.1308
MEM 3.492188 1739783649.2312
MEM 3.492188 1739783649.3315
MEM 3.492188 1739783649.4322
MEM 3.492188 1739783649.5325
MEM 3.492188 1739783649.6328
MEM 3.492188 1739783649.7333
MEM 3.492188 1739783649.8347
MEM 3.492188 1739783649.9354
MEM 3.492188 1739783650.0356
MEM 3.492188 1739783650.1362
MEM 3.492188 1739783650.2366
MEM 3.492188 1739783650.3369
MEM 3.492188 1739783650.4374
MEM 3.492188 1739783650.5379
MEM 3.492188 1739783650.6385
MEM 3.492188 1739783650.7389
MEM 3.492188 1739783650.8394
MEM 3.492188 1739783650.9399
MEM 3.492188 1739783651.0404
MEM 3.492188 1739783651.1410
MEM 3.492188 1739783651.2411
MEM 3.492188 1739783651.3419
MEM 3.492188 1739783651.4424
MEM 3.492188 1739783651.5428
MEM 3.492188 1739783651.6434
MEM 3.492188 1739783651.7437
MEM 3.492188 1739783651.8444
MEM 3.492188 1739783651.9448
MEM 3.492188 1739783652.0453
MEM 3.492188 1739783652.1458
MEM 3.492188 1739783652.2464
MEM 3.492188 1739783652.3466
MEM 3.492188 1739783652.4474
MEM 3.492188 1739783652.5478
MEM 3.492188 1739783652.6483
MEM 3.492188 1739783652.7490
MEM 3.492188 1739783652.8494
MEM 3.492188 1739783652.9498
MEM 3.492188 1739783653.0502
MEM 3.492188 1739783653.1509
MEM 3.492188 1739783653.2525
MEM 3.492188 1739783653.3537
MEM 3.492188 1739783653.4547
MEM 3.492188 1739783653.5550
MEM 3.492188 1739783653.6557
MEM 3.492188 1739783653.7561
MEM 3.492188 1739783653.8567
MEM 3.492188 1739783653.9572
MEM 3.492188 1739783654.0582
MEM 3.492188 1739783654.1588
MEM 3.492188 1739783654.2591
MEM 3.492188 1739783654.3597
MEM 3.492188 1739783654.4605
MEM 3.492188 1739783654.5609
MEM 3.492188 1739783654.6614
MEM 3.492188 1739783654.7618
MEM 3.492188 1739783654.8624
MEM 3.492188 1739783654.9628
MEM 3.492188 1739783655.0633
MEM 3.492188 1739783655.1635
MEM 3.492188 1739783655.2639
MEM 3.492188 1739783655.3644
MEM 3.492188 1739783655.4652
MEM 3.492188 1739783655.5654
MEM 3.492188 1739783655.6659
MEM 3.492188 1739783655.7665
MEM 3.492188 1739783655.8669
MEM 3.492188 1739783655.9673
MEM 3.492188 1739783656.0678
MEM 3.492188 1739783656.1683
MEM 3.492188 1739783656.2690
MEM 3.492188 1739783656.3694
MEM 3.492188 1739783656.4699
MEM 3.492188 1739783656.5704
MEM 3.492188 1739783656.6709
MEM 3.492188 1739783656.7719
MEM 3.492188 1739783656.8724
MEM 3.492188 1739783656.9730
MEM 3.492188 1739783657.0736
MEM 3.492188 1739783657.1742
MEM 3.492188 1739783657.2746
MEM 3.492188 1739783657.3752
MEM 3.492188 1739783657.4759
MEM 3.492188 1739783657.5764
MEM 3.492188 1739783657.6769
MEM 3.492188 1739783657.7775
MEM 3.492188 1739783657.8780
MEM 3.492188 1739783657.9785
MEM 3.492188 1739783658.0794
MEM 3.492188 1739783658.1800
MEM 3.492188 1739783658.2808
MEM 3.492188 1739783658.3815
MEM 3.492188 1739783658.4822
MEM 3.492188 1739783658.5830
MEM 3.492188 1739783658.6837
MEM 3.492188 1739783658.7843
MEM 3.492188 1739783658.8845
MEM 3.492188 1739783658.9848
MEM 3.492188 1739783659.0855
MEM 3.492188 1739783659.1862
MEM 3.492188 1739783659.2869
MEM 3.492188 1739783659.3876
MEM 3.492188 1739783659.4883
MEM 3.492188 1739783659.5889
MEM 3.492188 1739783659.6895
MEM 3.492188 1739783659.7902
MEM 3.492188 1739783659.8908
MEM 3.492188 1739783659.9912
MEM 3.492188 1739783660.0917
MEM 3.492188 1739783660.1926
MEM 3.492188 1739783660.2930
MEM 3.492188 1739783660.3937
MEM 3.492188 1739783660.4946
MEM 3.492188 1739783660.5950
MEM 3.492188 1739783660.6956
MEM 3.492188 1739783660.7963
MEM 3.492188 1739783660.8966
MEM 3.492188 1739783660.9973
MEM 3.492188 1739783661.0977
MEM 3.492188 1739783661.1983
MEM 3.492188 1739783661.2988
MEM 3.492188 1739783661.3990
MEM 3.492188 1739783661.4997
MEM 3.492188 1739783661.6003
MEM 3.492188 1739783661.7007
MEM 3.492188 1739783661.8010
MEM 3.492188 1739783661.9014
MEM 3.492188 1739783662.0027
MEM 3.492188 1739783662.1034
MEM 3.492188 1739783662.2042
MEM 3.492188 1739783662.3048
MEM 3.492188 1739783662.4056
MEM 3.492188 1739783662.5063
